(15, 12, 0)	1	0	825162	988680	61	60
(13, 14, 0)	1	0	67674	136800	11	10
(14, 13, 0)	2	0	217322	46814	13	13
(13, 15, 0)	1	0	93558	188791	16	15
(15, 13, 0)	2	0	342008	178769	17	17
(14, 15, 0)	2	0	541710	302070	21	21
(15, 14, 0)	2	0	264358	301732	20	20
(0, 1, 1)	1	0	107555	143226	15	14
(1, 0, 1)	2	0	278562	368149	23	23
(0, 2, 1)	1	0	388959	219633	31	30
(2, 0, 1)	2	0	852338	596481	45	45
(0, 3, 1)	1	0	357384	643265	25	24
(3, 0, 1)	2	0	689188	389393	26	26
(0, 4, 1)	1	0	108670	108950	13	12
(4, 0, 1)	2	0	327982	233175	27	27
